point ewma,point Taux FAIL,limite Construction,point loi norm sup,point loi norm inf,Dates,Date_comments,the_comments,Arcs
0.3743401751358086,0.34,2.0,0.8636319387608327,-0.23129527209416634,2020-11-24,,,256
0.36747214010864687,0.11,2.0,0.8636319387608327,-0.23129527209416634,2020-11-25,,,257
0.31597771208691755,0.17500000000000002,2.0,0.8636319387608327,-0.23129527209416634,2020-11-26,,,258
0.28778216966953407,0.13,2.0,0.8636319387608327,-0.23129527209416634,2020-11-27,,,259
0.2562257357356273,-0.11,2.0,0.8636319387608327,-0.23129527209416634,2020-11-30,,,260
0.18298058858850186,-0.43,2.0,0.8636319387608327,-0.23129527209416634,2020-12-01,,,261
0.060384470870801496,-0.54,2.0,0.8636319387608327,-0.23129527209416634,2020-12-02,,,262
-0.05969242330335881,-0.56,2.0,0.8636319387608327,-0.23129527209416634,2020-12-03,,,263
-0.15975393864268705,-0.93,2.0,0.8636319387608327,-0.23129527209416634,2020-12-04,,,264
-0.3138031509141497,-0.79,2.0,0.8636319387608327,-0.23129527209416634,2020-12-05,,,265
-0.4090425207313198,-0.83,2.0,0.8636319387608327,-0.23129527209416634,2020-12-07,,,266
-0.49323401658505583,-0.75,2.0,0.8636319387608327,-0.23129527209416634,2020-12-08,,,267
-0.5445872132680447,-0.59,2.0,0.8636319387608327,-0.23129527209416634,2020-12-09,,,268
-0.5536697706144358,-0.59,2.0,0.8636319387608327,-0.23129527209416634,2020-12-10,,,269
-0.5609358164915487,-0.84,2.0,0.8636319387608327,-0.23129527209416634,2020-12-11,,,270
-0.616748653193239,-0.75,2.0,0.8636319387608327,-0.23129527209416634,2020-12-14,,,271
-0.6433989225545913,-0.68,2.0,0.8636319387608327,-0.23129527209416634,2020-12-15,,,272
-0.6507191380436731,-0.61,2.0,0.8636319387608327,-0.23129527209416634,2020-12-16,,,273
-0.6425753104349385,-0.41,2.0,0.8636319387608327,-0.23129527209416634,2020-12-17,,,274
-0.5960602483479508,-0.45,2.0,0.8636319387608327,-0.23129527209416634,2020-12-18,,,275
-0.5668481986783607,-0.63,2.0,0.8636319387608327,-0.23129527209416634,2020-12-19,,,276
-0.5794785589426885,-1.3366666666666667,2.0,0.8636319387608327,-0.23129527209416634,2020-12-21,,,277
-0.7309161804874842,0.565,2.0,0.8636319387608327,-0.23129527209416634,2020-12-22,,,278
-0.47173294438998736,-0.21,2.0,0.8636319387608327,-0.23129527209416634,2020-12-23,,,279
-0.4193863555119899,-0.27,2.0,0.8636319387608327,-0.23129527209416634,2020-12-24,,,280
-0.3895090844095919,-1.06,2.0,0.8636319387608327,-0.23129527209416634,2020-12-28,,,281
